Game Type,Date,Opponent,TTO,Pitcher,P Hand,Inning,Pitch Count,Batter,B Hand,ROB,Count,Outs,PAResCopy1,Pitch Type,Pitch Result,PA Result,Base Adv.,Exit Velo,BIP Type,Pitch Velo,TTP,PAResCopy2,OA3,Putaways,Catcher,Umpire,PitcherCopy,Team W-L,Score,Start/Relief,W,L,S,IP,R,ER,LO #,LO-reach,LO-Score,BI,BI-Ch,SD Inn,SD-Ch,M-out,M-Ch,1st Responder,IR,IR-Score,Previous Pitch Type,Previous Pitch result,Previous PA Result,BlankCol1,BlankCol2,BlankCol3,BlankCol4,BlankCol5,BlankCol6,BlankCol7,BlankCol8,BlankCol9,BlankCol10
DO NOT USE THIS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,Leadoff,,,Big Innings,,Shutdowns,,Momentum,,,Inherited,,#REF!,#REF!,#REF!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22 Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,1st,Schultz,R,1,1,Morabito,LHH,BE,0-0,0,,FB,Str-take,,,,,91,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,2,Morabito,LHH,BE,0-1,0,,FB,Str-S/M,,,,,92,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,3,Morabito,LHH,BE,0-2,0,,FB,Ball,,,,,92,,,,,Nascimento,,,,,Start,,,,1.00,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,4,Morabito,LHH,BE,1-2,0,GO,SL,Str-BIP,GO,,70,Ground,82,,GO,Y,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,5,Kender,RHH,BE,1-0,1,,CH,Ball,,,,,86,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,6,Kender,RHH,BE,1-1,1,,FB,Str-foul,,,,,91,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,7,Kender,RHH,BE,1-1,1,,SL,Ball,,,,,82,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,8,Kender,RHH,BE,2-2,1,,FB,Str-take,,,,,92,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,9,Kender,RHH,BE,3-2,1,,FB,Ball,,,,,92,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,10,Kender,RHH,BE,3-2,2,KL,FB,Str-take,KL,,,,92,,KL,N,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,11,Trommer,LHH,BE,0-0,2,,CH,Ball,,,,,85,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,12,Trommer,LHH,BE,1-0,2,,CH,Ball,,,,,87,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,13,Trommer,LHH,BE,2-0,2,,FB,Ball,,,,,91,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,14,Trommer,LHH,BE,3-0,,,FB,Str-take,,,,,91,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,9/22/24,INTRASQUAD,,Schultz,R,1,15,Trommer,LHH,BE,3-1,,,FB,Str-foul,,,,,91,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
